camera,imgtype,zoom,exposure,gain,frame,lifter,timestamp,id,plantbarcode,treatment,cartag,measurementlabel,other,image
none,none,none,none,none,none,none,None,P1010238,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010238.JPG
none,none,none,none,none,none,none,None,P1010239,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010239.JPG
none,none,none,none,none,none,none,None,P1010240,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010240.JPG
none,none,none,none,none,none,none,None,P1010241,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010241.JPG
none,none,none,none,none,none,none,None,P1010242,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010242.JPG
none,none,none,none,none,none,none,None,P1010243,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010243.JPG
none,none,none,none,none,none,none,None,P1010244,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010244.JPG
none,none,none,none,none,none,none,None,P1010245,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010245.JPG
none,none,none,none,none,none,none,None,P1010246,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010246.JPG
none,none,none,none,none,none,none,None,P1010247,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010247.JPG
none,none,none,none,none,none,none,None,P1010248,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010248.JPG
none,none,none,none,none,none,none,None,P1010249,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010249.JPG
none,none,none,none,none,none,none,None,P1010250,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010250.JPG
none,none,none,none,none,none,none,None,P1010251,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010251.JPG
none,none,none,none,none,none,none,None,P1010252,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010252.JPG
none,none,none,none,none,none,none,None,P1010253,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010253.JPG
none,none,none,none,none,none,none,None,P1010254,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010254.JPG
none,none,none,none,none,none,none,None,P1010255,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010255.JPG
none,none,none,none,none,none,none,None,P1010256,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010256.JPG
none,none,none,none,none,none,none,None,P1010257,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010257.JPG
none,none,none,none,none,none,none,None,P1010258,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010258.JPG
none,none,none,none,none,none,none,None,P1010259,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010259.JPG
none,none,none,none,none,none,none,None,P1010260,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010260.JPG
none,none,none,none,none,none,none,None,P1010261,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010261.JPG
none,none,none,none,none,none,none,None,P1010262,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010262.JPG
none,none,none,none,none,none,none,None,P1010263,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010263.JPG
none,none,none,none,none,none,none,None,P1010264,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010264.JPG
none,none,none,none,none,none,none,None,P1010265,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010265.JPG
none,none,none,none,none,none,none,None,P1010266,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010266.JPG
none,none,none,none,none,none,none,None,P1010267,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010267.JPG
none,none,none,none,none,none,none,None,P1010268,none,none,none,none,none,C:/Users/Fin/OneDrive - Canntx Life Sciences/LAB_G/Image_analysis/Profile_height/Oly_C_JPG\P1010268.JPG
